"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 13 15:58:09 IST 2022","Thu Jan 13 15:58:09 IST 2022","13","","My Login application","","My Login application","launch the application url and verify the tittle and url","launch the application url and verify the tittle and url",""
"passed","Sun Jan 16 22:05:35 IST 2022","Sun Jan 16 22:05:35 IST 2022","0","","Verify the volvo homepgae","","Verify the volvo homepgae","Click on our cars button","Click on our cars button",""
"passed","Sun Jan 16 22:05:35 IST 2022","Sun Jan 16 22:05:35 IST 2022","0","","Verify the volvo homepgae","","Verify the volvo homepgae","Verify the XC90 recharge in th menu","Verify the XC90 recharge in th menu",""
"passed","Sun Jan 16 22:05:34 IST 2022","Sun Jan 16 22:05:35 IST 2022","13","","Verify the volvo homepgae","","Verify the volvo homepgae","header text verification","header text verification",""
"passed","Sat Jan 15 22:20:22 IST 2022","Sat Jan 15 22:20:22 IST 2022","7","","My Login application","","My Login application","launch the application url and verify the tittle and url","launch the application url and verify the tittle and url",""
"passed","Sun Jan 16 22:05:35 IST 2022","Sun Jan 16 22:05:35 IST 2022","1","","Verify the volvo homepgae","","Verify the volvo homepgae","click on menu button","click on menu button",""
"passed","Thu Jan 13 15:58:11 IST 2022","Thu Jan 13 15:58:11 IST 2022","10","","My Login application","","My Login application","header verification","header verification",""
"passed","Thu Jan 13 15:58:11 IST 2022","Thu Jan 13 15:58:11 IST 2022","10","","My Login application","","My Login application","launch the application url and verify the tittle and url","launch the application url and verify the tittle and url",""
"passed","Sun Jan 16 22:05:35 IST 2022","Sun Jan 16 22:05:35 IST 2022","1","","Verify the volvo homepgae","","Verify the volvo homepgae","verify the menu list","verify the menu list",""
"passed","Sat Jan 15 20:17:35 IST 2022","Sat Jan 15 20:17:35 IST 2022","9","","My Login application","","My Login application","verify the menu list","verify the menu list",""
"passed","Sun Jan 16 22:05:34 IST 2022","Sun Jan 16 22:05:34 IST 2022","5","","Verify the volvo homepgae","","Verify the volvo homepgae","launch the application url and verify the tittle and url","launch the application url and verify the tittle and url",""
"passed","Thu Jan 13 15:58:09 IST 2022","Thu Jan 13 15:58:09 IST 2022","13","","My Login application","","My Login application","header verification","header verification",""
"passed","Sat Jan 15 22:20:22 IST 2022","Sat Jan 15 22:20:22 IST 2022","14","","My Login application","","My Login application","header verification","header verification",""
